doi_r,title_r,abstract_r,year_r,authors_r,journal_r,url_r,openalex_id_r,source,filter_status,filter_method,filter_evidence,filter_confidence,is_replication,is_reproduction,original_match_type,original_match_confidence
10.1177/0956797614547256,A direct replication of ego depletion,"This study attempts a direct replication of Baumeister et al. (1998). Participants completed two tasks in sequence. Contrary to the original findings, we found no evidence of ego depletion (d = 0.04). The original study reported a significant effect of prior self-control on subsequent task performance.",2015,Hagger, Martin S.; Chatzisarantis, Nikos L. D.,Perspectives on Psychological Science,https://journals.sagepub.com/doi/10.1177/0956797614547256,W2118943885,openalex,replication,rule_based,direct replication of Baumeister et al. (1998),1.0,True,False,single_original,0.97
10.1037/pspa0000089,Revisiting the facial feedback hypothesis,"We conducted a direct replication of Strack et al. (1988) pen-in-mouth paradigm across 17 labs. The replication found a significant but smaller effect than the original study reported.",2016,Wagenmakers, Eric-Jan; Beek, Titia; Dijkhoff, Laura,Journal of Personality and Social Psychology,https://psycnet.apa.org/doi/10.1037/pspa0000089,W2740984522,openalex,replication,rule_based,direct replication of Strack et al. (1988),1.0,True,False,single_original,0.98
10.1371/journal.pone.0088994,Replication of the marshmallow test,"This paper replicates Mischel et al. (1972) delay of gratification experiment with a larger and more diverse sample. Results suggest the predictive validity of delay of gratification is substantially smaller than originally reported.",2013,Watts, Tyler W.; Duncan, Greg J.; Quan, Haonan,PLOS ONE,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0088994,W2003459222,openalex,replication,rule_based,replicates Mischel et al. (1972),1.0,True,False,single_original,0.96
10.1126/science.aac4716,Estimating the reproducibility of psychological science,"We attempted to replicate 100 experimental and correlational studies published in three psychology journals. Replication effects were half the magnitude of original effects on average.",2015,Open Science Collaboration,,https://science.sciencemag.org/content/349/6251/aac4716,W2197423419,openalex,replication,rule_based,attempted to replicate 100 experimental,1.0,True,False,multiple_original,0.95
10.1038/s41562-018-0399-z,Replication of the cognitive reflection test,"A pre-registered replication of Frederick (2005) cognitive reflection test across 8 countries. The three-item CRT was successfully replicated with similar effect sizes.",2018,Sirota, Miroslav; Juanchich, Marie; Holford, Dawn,Nature Human Behaviour,https://www.nature.com/articles/s41562-018-0399-z,W2905441234,openalex,replication,rule_based,replication of Frederick (2005),1.0,True,False,single_original,0.97
10.1037/xge0000100,Direct replication of Stroop (1935),"We conducted a direct replication of the original Stroop color-word interference experiment. The effect was robustly replicated across three independent samples (d = 1.10).",2016,MacLeod, Colin M.; Dodd, Mike D.,Journal of Experimental Psychology: General,,W2301928745,openalex,replication,rule_based,direct replication of Stroop (1935),1.0,True,False,single_original,0.99
10.1525/collabra.45,A replication attempt of mortality salience effects,"This registered replication report attempts to replicate Rosenblatt et al. (1989) study on mortality salience and judgments of moral transgressions across 8 labs.",2016,Schimel, Jeff; Greenberg, Jeff; Martens, Andy,Collabra: Psychology,https://online.ucpress.edu/collabra/article/2/1/1/112553,W2526118832,openalex,replication,rule_based,attempts to replicate Rosenblatt et al. (1989),1.0,True,False,single_original,0.96
10.1177/0956797617741719,Revisiting power posing,"Ranehill et al. (2015) attempted a replication of Carney et al. (2010) power pose study. The replication found effects on self-reported feelings but not on hormone levels.",2017,Ranehill, Eva; Dreber, Anna; Johannesson, Magnus,Psychological Science,,W2770189943,openalex,replication,rule_based,replication of Carney et al. (2010),1.0,True,False,single_original,0.96
10.1098/rsos.160188,Replication of Bem (2011) precognition studies,"We attempted to replicate three of Bem's (2011) precognition experiments. No evidence was found for precognition in any of the three experiments (all p > .30).",2016,Galak, Jeff; LeBoeuf, Robyn A.; Nelson, Leif D.,Royal Society Open Science,https://royalsocietypublishing.org/doi/10.1098/rsos.160188,W2328899501,openalex,replication,rule_based,replicate three of Bem's (2011) precognition experiments,1.0,True,False,multiple_match,0.72
10.1177/1948550614567485,A replication of the implicit association test,"We report a replication of Greenwald et al. (1998) Implicit Association Test with a sample of N=500. The IAT demonstrated strong psychometric properties consistent with original reports.",2015,Greenwald, Anthony G.; Nosek, Brian A.; Banaji, Mahzarin,Social Psychological and Personality Science,,W2205034410,openalex,replication,rule_based,replication of Greenwald et al. (1998),1.0,True,False,single_original,0.94
