work_id,doi,title,template,fetched,in_flora,chars,osf-registration-completed,osf-registration-protocol,verdict
6906510504,10.17605/osf.io/ruyhs,Embodied Pretend- Replication and Extension of Sutherland &amp; Friedman 2012,OSF-Standard Pre-Data Collection Registration,True,False,135,False,True,discard
2787836934,10.17605/osf.io/ubp8c,"Replication Study of ""Speeded naming or naming speed? The automatic effect of object speed on performance.""","Replication Recipe (Brandt et al., 2013): Pre-Registration",True,False,1005,False,True,discard
6887784492,10.17605/osf.io/xgwd2,Creativity and Approach / Avoidance Motor Actions - Replication of Friedman and Foster (2002),Prereg Challenge,True,False,8146,False,True,discard
6887675484,10.17605/osf.io/ezw4r,Belonging Research -- Interventions Replication (Ally Vaccine),OSF Preregistration,True,False,7254,False,True,discard
2777586654,10.17605/osf.io/6n9df,"The role of retrieval, reproduction, and restudy in word learning",Prereg Challenge,True,False,10310,False,True,discard
6887736839,10.17605/osf.io/rqw46,Self construal priming - Direct replication of Kuhnen &amp; Oyserman (2002),Preregistration Template from AsPredicted.org,True,False,3340,False,True,discard
6962425856,10.17605/osf.io/dqkus,Phonotactic markedness in speech production / Preregistered replication,OSF Preregistration,True,False,4949,False,True,discard
6925435659,10.17605/osf.io/ap6gt,Pre-Analysis Plan: The Wall and the Welfare State - How changes in trade interdependency between the U.S. and Mexico affect risk perception and individual social policy preferences,EGAP Registration,True,False,8135,False,True,discard
6906431725,10.17605/osf.io/94mt6,Questionnaire used for replication/extension of Rios (2014) Study 1,"Replication Recipe (Brandt et al., 2013): Pre-Registration",True,False,4533,False,True,discard
6906418282,10.17605/osf.io/5q8fj,Redemption and appearance: UCSB Replication,OSF-Standard Pre-Data Collection Registration,True,False,135,False,True,discard
6962554731,10.17605/osf.io/gfqvr,Pre-Analysis Plan for the Corporate PAC Experiment in the Stanford Opinion Study,EGAP Registration,True,False,808,False,True,discard
6962542056,10.17605/osf.io/b9dhy,Analysis of the Replication,OSF-Standard Pre-Data Collection Registration,True,False,226,False,True,discard
6887644987,10.17605/osf.io/8tgqk,Replication of memories of past episodes shapes current intentions and decisions,Preregistration Template from AsPredicted.org,True,False,2813,False,True,discard
6887735272,10.17605/osf.io/tj6qh,"ML5: Replication of Crosby, Monin &amp; Richardson (2008)",OSF-Standard Pre-Data Collection Registration,True,False,146,False,True,discard
6943839549,10.17605/osf.io/q43sn,US-Iran Reject Deal Replication Study,Preregistration Template from AsPredicted.org,True,False,6718,False,True,discard
6962335555,10.17605/osf.io/tqsz3,Replication_project_survey and methods,OSF-Standard Pre-Data Collection Registration,True,False,72,False,True,discard
6943985184,10.17605/osf.io/4ex89,OPP Replication (OPPR),Prereg Challenge,True,False,8619,False,True,discard
6887801429,10.17605/osf.io/weg8q,Replication Report,"Replication Recipe (Brandt et al., 2013): Pre-Registration",True,False,85,False,True,discard
6887807936,10.17605/osf.io/v3exz,Stanford replicating - UCSB Wave 3 - Method and materials,OSF-Standard Pre-Data Collection Registration,True,False,251,False,True,discard
6906497029,10.17605/osf.io/hrfg5,"Replication of Ratliff (Ranganath) &amp; Nosek, 2008, Psych Science",OSF-Standard Pre-Data Collection Registration,True,False,84,False,True,discard
6887706261,10.17605/osf.io/kuvmw,The Effects of Magnitude Range on Reproduction of Interval Timing,OSF-Standard Pre-Data Collection Registration,True,False,72,False,True,discard
6943794154,10.17605/osf.io/42tys,Impact of glass shape on drinking time: a laboratory-based replication study exploring mechanism,OSF-Standard Pre-Data Collection Registration,True,False,135,False,True,discard
6944322625,10.17605/osf.io/hxp8j,Pre-Analysis Report,OSF-Standard Pre-Data Collection Registration,True,False,135,False,True,discard
6944253174,10.17605/osf.io/uyfqw,Replication of Sznycer et al. 2017,"Replication Recipe (Brandt et al., 2013): Pre-Registration",True,False,3194,False,True,discard
6925776612,10.17605/osf.io/zrxwh,Replication 3: GSS vocab CM,OSF-Standard Pre-Data Collection Registration,True,False,135,False,True,discard
6962877538,10.17605/osf.io/kfv5d,"Replication of Calogero, 2013 (#2)","Pre-Registration in Social Psychology (van 't Veer & Giner-Sorolla, 2016): Pre-Registration",True,False,18723,False,True,discard
6962578684,10.17605/osf.io/as9mv,Do men and women activate different traits in spontaneous processing – replication and extension to other traits?,Prereg Challenge,True,False,9570,False,True,discard
6925330220,10.17605/osf.io/nse8r,Pride and Shame Track Status Changes - Replication and Extension,Prereg Challenge,True,False,7277,False,True,discard
6962993352,10.17605/osf.io/6fs72,Solitude Study (with pencil task) - replication,Prereg Challenge,True,False,15040,False,True,discard
6944185879,10.17605/osf.io/yft5x,Embodied Pretend-- Replication and Extension of Corriveau &amp; Harris (2015),"Replication Recipe (Brandt et al., 2013): Pre-Registration",True,False,5433,False,True,discard
6906361209,10.17605/osf.io/hcz7b,Replication Project Plan,OSF-Standard Pre-Data Collection Registration,True,False,212,False,True,discard
6887732354,10.17605/osf.io/epjk2,Registered replication of Stoeber (2012): Dyadic perfectionism in romantic relationships,"Pre-Registration in Social Psychology (van 't Veer & Giner-Sorolla, 2016): Pre-Registration",True,False,13028,False,True,discard
6943956684,10.17605/osf.io/anjqk,Perceptions of workplace incivility based on personality characteristics: A replication study,"Replication Recipe (Brandt et al., 2013): Pre-Registration",True,False,1659,False,True,discard
6887700379,10.17605/osf.io/bgxj5,Replicating Cognitive Gender Differences in Jealousy from an Evolutionary Psychological Perspective: Do Infidelity Types influence our Processing-Speed?,Prereg Challenge,True,False,24155,False,True,discard
6887639667,10.17605/osf.io/7d2wn,"Mouse-Tracking Replication of Dale et al. (2007), Experiment 1",Prereg Challenge,True,False,6198,False,True,discard
6887733996,10.17605/osf.io/v24a3,"Is anchor consistent knowledge subsequently more accessible, as measured by a lexical decision task? A replication.",OSF-Standard Pre-Data Collection Registration,True,False,157,False,True,discard
6943940800,10.17605/osf.io/cpyu4,Survey Replication,OSF-Standard Pre-Data Collection Registration,True,False,135,False,True,discard
2776336405,10.17605/osf.io/kdvcz,Asch (1946) Replication (Exp. VI),Prereg Challenge,True,False,5630,False,True,discard
6962548924,10.17605/osf.io/9jums,Pre-Analysis Report,OSF-Standard Pre-Data Collection Registration,True,False,135,False,True,discard
